Company,Symbol,Logo
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS,https://s3-symbol-logo.tradingview.com/hdfc-bank--big.svg
Asian Paints Ltd.,ASIANPAINT,https://s3-symbol-logo.tradingview.com/asian-paints--big.svg
Axis Bank Ltd.,AXISBANK,https://s3-symbol-logo.tradingview.com/axis-bank--big.svg
Bajaj Auto Ltd.,BAJAJ-AUTO,https://s3-symbol-logo.tradingview.com/bajaj-auto--big.svg
Bajaj Finance Ltd.,BAJFINANCE,https://s3-symbol-logo.tradingview.com/bajaj-finance--big.svg
Bajaj Finserv Ltd.,BAJAJFINSV,https://s3-symbol-logo.tradingview.com/bajaj-finserv--big.svg
Bharat Petroleum Corporation Ltd.,BPCL,https://s3-symbol-logo.tradingview.com/bharat-petroleum--big.svg
Bharti Airtel Ltd.,BHARTIARTL,https://s3-symbol-logo.tradingview.com/airtel--big.svg
Britannia Industries Ltd.,BRITANNIA,https://s3-symbol-logo.tradingview.com/britannia--big.svg
Cipla Ltd.,CIPLA,https://s3-symbol-logo.tradingview.com/cipla--big.svg
Coal India Ltd.,COALINDIA,https://s3-symbol-logo.tradingview.com/coal-india--big.svg
Divi's Laboratories Ltd.,DIVISLAB,https://s3-symbol-logo.tradingview.com/divis--big.svg
Dr. Reddy's Laboratories Ltd.,DRREDDY,https://s3-symbol-logo.tradingview.com/dr-reddys--big.svg
Eicher Motors Ltd.,EICHERMOT,https://s3-symbol-logo.tradingview.com/eicher-motors--big.svg
Grasim Industries Ltd.,GRASIM,https://s3-symbol-logo.tradingview.com/grasim--big.svg
HCL Technologies Ltd.,HCLTECH,https://s3-symbol-logo.tradingview.com/hcl-technologies--big.svg
HDFC Bank Ltd.,HDFCBANK,https://s3-symbol-logo.tradingview.com/hdfc-bank--big.svg
HDFC Life Insurance Company Ltd.,HDFCLIFE,https://s3-symbol-logo.tradingview.com/hdfc-life--big.svg
Hero MotoCorp Ltd.,HEROMOTOCO,https://s3-symbol-logo.tradingview.com/hero-motocorp--big.svg
Hindalco Industries Ltd.,HINDALCO,https://s3-symbol-logo.tradingview.com/hindalco--big.svg
Hindustan Unilever Ltd.,HINDUNILVR,https://s3-symbol-logo.tradingview.com/unilever--big.svg
Housing Development Finance Corporation Ltd.,HDFC,https://s3-symbol-logo.tradingview.com/housing-development--big.svg
ICICI Bank Ltd.,ICICIBANK,https://s3-symbol-logo.tradingview.com/housing-development--big.svg
ITC Ltd.,ITC,https://s3-symbol-logo.tradingview.com/itc--big.svg
Indian Oil Corporation Ltd.,IOC,https://s3-symbol-logo.tradingview.com/indian-oil--big.svg
IndusInd Bank Ltd.,INDUSINDBK,https://s3-symbol-logo.tradingview.com/indusind-bank--big.svg
Infosys Ltd.,INFY,https://s3-symbol-logo.tradingview.com/infosys--big.svg
JSW Steel Ltd.,JSWSTEEL,https://s3-symbol-logo.tradingview.com/jsw--big.svg
Kotak Mahindra Bank Ltd.,KOTAKBANK,https://s3-symbol-logo.tradingview.com/kotak-mahindra-bank--big.svg
Larsen & Toubro Ltd.,LT,https://s3-symbol-logo.tradingview.com/larsen-and-toubro--big.svg
Mahindra & Mahindra Ltd.,M&M,https://s3-symbol-logo.tradingview.com/mahindra--big.svg
Maruti Suzuki India Ltd.,MARUTI,https://s3-symbol-logo.tradingview.com/maruti-suzuki-india--big.svg
NTPC Ltd.,NTPC,https://s3-symbol-logo.tradingview.com/ntpc--big.svg
Nestle India Ltd.,NESTLEIND,https://s3-symbol-logo.tradingview.com/nestle--big.svg
Oil & Natural Gas Corporation Ltd.,ONGC,https://s3-symbol-logo.tradingview.com/oil-and-natural-gas--big.svg
Power Grid Corporation of India Ltd.,POWERGRID,https://s3-symbol-logo.tradingview.com/power-grid--big.svg
Reliance Industries Ltd.,RELIANCE,https://s3-symbol-logo.tradingview.com/reliance--big.svg
SBI Life Insurance Company Ltd.,SBILIFE,https://s3-symbol-logo.tradingview.com/sbi-life-insurance--big.svg
Shree Cement Ltd.,SHREECEM,https://s3-symbol-logo.tradingview.com/shree-cement--big.svg
State Bank of India,SBIN,https://s3-symbol-logo.tradingview.com/state-bank--big.svg
Sun Pharmaceutical Industries Ltd.,SUNPHARMA,https://s3-symbol-logo.tradingview.com/sun-pharmaceutical--big.svg
Tata Consultancy Services Ltd.,TCS,https://s3-symbol-logo.tradingview.com/tata--big.svg
Tata Consumer Products Ltd.,TATACONSUM,https://s3-symbol-logo.tradingview.com/tata--big.svg
Tata Motors Ltd.,TATAMOTORS,https://s3-symbol-logo.tradingview.com/tata--big.svg
Tata Steel Ltd.,TATASTEEL,https://s3-symbol-logo.tradingview.com/tata--big.svg
Tech Mahindra Ltd.,TECHM,https://s3-symbol-logo.tradingview.com/mahindra-tech--big.svg
Titan Company Ltd.,TITAN,https://s3-symbol-logo.tradingview.com/titan-company--big.svg
UPL Ltd.,UPL,https://s3-symbol-logo.tradingview.com/upl--big.svg
UltraTech Cement Ltd.,ULTRACEMCO,https://s3-symbol-logo.tradingview.com/ultratech-cement--big.svg
Wipro Ltd.,WIPRO,https://s3-symbol-logo.tradingview.com/wipro--big.svg
